indicator_id,indicator,domain,subdomain,category,subject,lens_text,reason_draft,source_citation,source_effect_size,can_calculate,pragmatic_method,article_numbers,excluded,methods_from_literature,potential_data_sources,notes,doubts,domains,lenses,excluded_reason,work_package,indicator_code
0,Mexicali Liveability Index,,,,,,,,,,,,,,,,,,proximity; accessibility; quantity; density; diversity; quality,,WP00_composite_index,mexicali_liveability_index
46,Access to community centres,Social Infrastructure,"Community, culture & leisure",Community Facilities,Community centres,Accessibility,"Multi-purpose community centres provide important opportunities for social interaction and community connection, which are vital for mental and social wellbeing.","Saitluanga, 2014, 'Spatial pattern of urban livability in Himalayan region: a case of Aizawl City'",Association reported; no effect size provided.,1.0,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",22,,"['Percentage of residents living < 400 m
of community centre']",OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_community_centres
394,Access to youth centres,Social Infrastructure,"Community, culture & leisure",Community Facilities,Youth centres,Quantity,"Access to youth centres provides essential social infrastructure that supports social cohesion, mental health, and community wellbeing for young residents.","Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",OSM/ DENUE/IMIP,,,Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_youth_centres
11,Access to bakery,Economic Development,Food Environment,Convenience Destinations,Bakery,Quantity,The presence of local bakeries and food services contributes to the convenience of urban life and supports the everyday functional needs of residents.,"Ghasemi, 2024, 'Enhancing urban livability: Analyzing Tehran through equitable land use distribution'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",OSM/ DENUE/IMIP,"CH: Probably should be grouped with other convenience destinations/ ER: Agreed, but particulary with those food-related, maybe part of a food environment comoposite index?",,Economic Development; Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_bakery
129,Access to markets,Economic Development,Food Environment,Convenience Destinations,Markets,Quantity,Local markets provide residents with access to fresh food and opportunities for economic activity and social interaction within their neighborhoods.,"Ghasemi, 2024, 'Enhancing urban livability: Analyzing Tehran through equitable land use distribution'; Yang et al., 2021, 'Spatiotemporal trends and driving factors of urban livability in the Yangtze River Delta Agglomeration'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",OSM/ DENUE/IMIP,,ER: This one can be part of a composite sub-index,Economic Development; Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_markets
132,Access to minimarts,Economic Development,Food Environment,Convenience Destinations,Minimarts,Quantity,"The availability of minimarts is an indicator of local food access, supporting the convenient provision of daily necessities that shape urban life quality.","Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'; Alderton et al., 2019, 'What is the meaning of urban liveability for a city in a low-to-middle-income country? Contextualising liveability for Bangkok, Thailand'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",OSM/ DENUE/IMIP,"CH: worth noting, minimarts may not be 'healthy food' necessarily (depends on context how its interpreted -- eg is OXXO a healthy food destination? maybe more associated with junk/convenience food?)",,Economic Development,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_minimarts
169,Access to petrol station (>= 250m away),Economic Development,Resources,Convenience Destinations,Petrol station (>= 250m away),Proximity,Living at a sufficient distance from gas stations improves residents' safety by reducing the risks of fire incidents and accidents associated with hazardous fuel locations.,"Basu et al., 2021, 'Urban Livability Index Assessment Based on Land-Use Changes in an Indian Medium-Sized City (Raiganj)'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",18,,['Analytic Hierarchy Process (AHP)'],OSM/ DENUE/IMIP (abasto layer) https://www.mexicali.gob.mx/sitioimip/geovisor/geovisor/?url=act-terr&access_token=,"CH: the evidence for this one might be complex -- I can imagine there might be a sweet spot --- yes, you don't want to be too close (how close is that, maybe that is our indicator --- not within XXX distance m, if we can link with citable evidence.)  But the reality is people do drive, and need petrol or perhaps electrical charging; living too far from one could impact some aspects of life.  Lets be guided by evidence here.  Here's a good basis for an indicator:   Petrol station within 250m is associated with increased relative risk of childhood leukemia.   Another study: https://link.springer.com/article/10.1007/s00420-021-01767-y",,Economic Development,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_petrol_station_250m_away
232,Access to restaurants,Economic Development,Food Environment,Convenience Destinations,Restaurants,Quantity,"Restaurants contribute to the recreational diversity of urban districts, offering spaces for socialization and enhancing the vibrancy of the neighborhood.","Ghasemi, 2024, 'Enhancing urban livability: Analyzing Tehran through equitable land use distribution'; Kang et al., 2022, 'Can tourism development make cities more livable? Investigating 40 cities in China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",OSM/ DENUE,,,Economic Development; Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_restaurants
367,Access to supermarket,Economic Development,Food Environment,Convenience Destinations,Supermarket,Quantity,The availability of supermarkets is a indicator of the formal food environment that influences residents' ability to access varied and nutritional food options.,"Lowe et al., 2015, 'Planning healthy, liveable and sustainable cities: how can indicators inform policy?'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",13,,"['Identification of measurable spatial indicators, how they can me calculated and monitored']",OSM/ DENUE,"Worth measuring access to supermarkets in a number of different ways (distance, count, within threshold) as required",ER: Review the composite hierarchy number,Economic Development; Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_supermarket
58,Access to cultural centers,Social Infrastructure,"Community, culture & leisure",Culture & Leisure,Cultural centers,Quantity,Cultural centers serve as important hubs for social and cultural activities that enhance community identity and promote the psychological well-being of residents.,"Kang et al., 2022, 'Can tourism development make cities more livable? Investigating 40 cities in China'",Association reported; no effect size provided.,,"Destination analysis using GHSCI tools with permutations of: distance to closest, access within threshold(s), and where applicable count per sqkm and per 1,000 persons",16,,"['Exploratory Factor Analysis', 'Standard Deviational Ellipse,', 'Hot Spot Analysis,', 'Network Analysis']",OSM/ DENUE/IMIP,,"ER: This can be part of a ""City amenities"" composite index",Social Infrastructure,proximity; accessibility; quantity; density,,WP01_ghsci_access_network,access_to_cultural_centers
